Dataset,Sampler,Classifier,AUPRC_mean,AUPRC_std,Accuracy_mean,Accuracy_std,AUC_mean,AUC_std,F1_mean,F1_std
scene,None,KNN,0.1306757557794902,0.0,0.9315352697095436,0.0,0.6669542984979228,0.0,0.15384615384615385,0.0
scene,None,RF,0.11781861292234734,1.3877787807814457e-17,0.9294605809128631,0.0,0.7784276126558006,0.0,0.15,0.0
scene,None,LR,0.0992939471777646,0.0,0.7946058091286307,0.0,0.6563758389261745,0.0,0.20800000000000002,2.7755575615628914e-17
scene,None,DT,0.10979811011541547,1.3877787807814457e-17,0.8900414937759337,1.1102230246251565e-16,0.5852029402364973,0.0,0.2318840579710145,0.0
scene,None,SVM,0.10681227486206742,1.3877787807814457e-17,0.8609958506224068,1.1102230246251565e-16,0.7489293704058805,0.0,0.22988505747126436,0.0
scene,None,GBM,0.11510900349074624,0.0,0.9253112033195021,0.0,0.7879833812719718,0.0,0.18181818181818182,0.0
scene,None,XGBoost,0.12145820983995259,0.0,0.9273858921161826,0.0,0.7907957813998083,0.0,0.18604651162790697,0.0
scene,EasyEnsembleClassifier,EasyEnsembleClassifier,0.14400259036289068,0.0,0.6846473029045643,0.0,0.7378076062639822,0.0,0.2692307692307692,0.0
scene,EditedNearestNeighbours,KNN,0.14044422748352453,0.0,0.921161825726141,0.0,0.6754234579737934,0.0,0.2692307692307692,0.0
scene,EditedNearestNeighbours,RF,0.1092471843509188,1.3877787807814457e-17,0.9273858921161826,0.0,0.8070310003195909,0.0,0.14634146341463414,0.0
scene,EditedNearestNeighbours,LR,0.0959049133284213,0.0,0.7634854771784232,0.0,0.6565036752956216,0.0,0.19718309859154928,0.0
scene,EditedNearestNeighbours,DT,0.1126496739774748,1.3877787807814457e-17,0.8589211618257261,0.0,0.6079258549057207,0.0,0.2444444444444444,2.7755575615628914e-17
scene,EditedNearestNeighbours,SVM,0.11562244959322357,1.3877787807814457e-17,0.8381742738589212,0.0,0.7639501438159156,0.0,0.25,0.0
scene,EditedNearestNeighbours,GBM,0.11718571884546988,0.0,0.921161825726141,0.0,0.7890060722275487,0.0,0.20833333333333334,0.0
scene,EditedNearestNeighbours,XGBoost,0.13928685422461357,0.0,0.9253112033195021,0.0,0.7994886545222115,0.0,0.25,0.0
scene,CondensedNearestNeighbour,KNN,0.1262633372851215,0.0,0.8983402489626556,0.0,0.644838606583573,0.0,0.26865671641791045,0.0
scene,CondensedNearestNeighbour,RF,0.12717572883547987,0.0,0.9253112033195021,0.0,0.7781080217321827,0.0,0.21739130434782608,0.0
scene,CondensedNearestNeighbour,LR,0.09701188803681698,0.0,0.7302904564315352,0.0,0.601278363694471,0.0,0.19753086419753085,0.0
scene,CondensedNearestNeighbour,DT,0.12877620305006196,0.0,0.7966804979253111,0.0,0.6665388302972195,0.0,0.26865671641791045,0.0
scene,CondensedNearestNeighbour,SVM,0.12391135835119238,0.0,0.8278008298755186,0.0,0.7795461808884627,0.0,0.26548672566371684,0.0
scene,CondensedNearestNeighbour,GBM,0.1131594546532306,0.0,0.8941908713692946,0.0,0.7526366251198465,0.0,0.2388059701492537,2.7755575615628914e-17
scene,CondensedNearestNeighbour,XGBoost,0.1321054562904,0.0,0.8858921161825727,1.1102230246251565e-16,0.7197826781719399,0.0,0.2857142857142857,0.0
scene,RepeatedEditedNearestNeighbours,KNN,0.13586906408483174,0.0,0.9190871369294605,0.0,0.6729626078619367,0.0,0.2641509433962264,0.0
scene,RepeatedEditedNearestNeighbours,RF,0.13363536285883648,0.0,0.9232365145228216,0.0,0.7966762543943751,0.0,0.24489795918367346,0.0
scene,RepeatedEditedNearestNeighbours,LR,0.09312598685418427,0.0,0.7510373443983402,0.0,0.656311920741451,0.0,0.1891891891891892,0.0
scene,RepeatedEditedNearestNeighbours,DT,0.13168285690091094,0.0,0.8755186721991702,1.1102230246251565e-16,0.6300415468200704,0.0,0.2857142857142857,0.0
scene,RepeatedEditedNearestNeighbours,SVM,0.11178796761699053,0.0,0.8298755186721992,0.0,0.7651645893256631,0.0,0.24074074074074076,2.7755575615628914e-17
scene,RepeatedEditedNearestNeighbours,GBM,0.10914556694046913,0.0,0.9087136929460581,0.0,0.7867689357622243,0.0,0.21428571428571427,0.0
scene,RepeatedEditedNearestNeighbours,XGBoost,0.18173734978714232,0.0,0.9232365145228216,0.0,0.8065196548418024,0.0,0.3508771929824561,0.0
scene,AllKNN,KNN,0.14044422748352453,0.0,0.921161825726141,0.0,0.66331096196868,0.0,0.2692307692307692,0.0
scene,AllKNN,RF,0.17445168938944872,0.0,0.9336099585062241,0.0,0.7925854905720678,0.0,0.2727272727272727,0.0
scene,AllKNN,LR,0.10214067620315173,0.0,0.7697095435684648,0.0,0.6621284755512944,0.0,0.2127659574468085,0.0
scene,AllKNN,DT,0.13186764332288933,0.0,0.8651452282157678,1.1102230246251565e-16,0.6376158517098114,0.0,0.2857142857142857,0.0
scene,AllKNN,SVM,0.11270664559046302,0.0,0.8319502074688797,0.0,0.7661233620965164,0.0,0.24299065420560745,2.7755575615628914e-17
scene,AllKNN,GBM,0.11326107206368023,1.3877787807814457e-17,0.9190871369294605,0.0,0.790987535953979,0.0,0.20408163265306123,0.0
scene,AllKNN,XGBoost,0.13928685422461357,0.0,0.9253112033195021,0.0,0.7929689996804091,0.0,0.25,0.0
scene,InstanceHardnessThreshold,KNN,0.13317787455848565,0.0,0.7634854771784232,0.0,0.7469479066794503,0.0,0.2692307692307692,0.0
scene,InstanceHardnessThreshold,RF,0.1271829139049056,0.0,0.520746887966805,0.0,0.8063598593799937,0.0,0.22742474916387959,0.0
scene,InstanceHardnessThreshold,LR,0.1326224019530893,0.0,0.5435684647302904,0.0,0.7847235538510706,0.0,0.2361111111111111,0.0
scene,InstanceHardnessThreshold,DT,0.10632227127551337,0.0,0.495850622406639,0.0,0.6623521891978268,0.0,0.19801980198019803,0.0
scene,InstanceHardnessThreshold,SVM,0.10965961201678287,0.0,0.43153526970954365,5.551115123125783e-17,0.7766698625759028,0.0,0.19883040935672514,0.0
scene,InstanceHardnessThreshold,GBM,0.11875153891751403,0.0,0.520746887966805,0.0,0.7950782997762863,0.0,0.21694915254237288,0.0
scene,InstanceHardnessThreshold,XGBoost,0.12068228289031122,1.3877787807814457e-17,0.5103734439834025,0.0,0.809587727708533,0.0,0.2185430463576159,0.0
scene,NearMiss,KNN,0.08727828188409102,0.0,0.7614107883817427,0.0,0.6143815915627996,0.0,0.17266187050359713,0.0
scene,NearMiss,RF,0.08199270109483578,0.0,0.35477178423236516,0.0,0.62032598274209,0.0,0.15258855585831063,0.0
scene,NearMiss,LR,0.08649204536865011,0.0,0.4211618257261411,0.0,0.6311920741450943,0.0,0.16216216216216217,0.0
scene,NearMiss,DT,0.08117797818075786,0.0,0.3941908713692946,0.0,0.554873761585171,0.0,0.1511627906976744,0.0
scene,NearMiss,SVM,0.07746032409640173,0.0,0.23236514522821577,0.0,0.5408756791307128,0.0,0.14351851851851852,0.0
scene,NearMiss,GBM,0.08387266677800188,0.0,0.37344398340248963,0.0,0.6109939277724513,0.0,0.1564245810055866,0.0
scene,NearMiss,XGBoost,0.08251071109677129,0.0,0.38381742738589214,0.0,0.6400127836369447,0.0,0.15384615384615385,0.0
scene,NeighbourhoodCleaningRule,KNN,0.15760389909767503,0.0,0.9232365145228216,0.0,0.6707574304889741,0.0,0.3018867924528302,0.0
scene,NeighbourhoodCleaningRule,RF,0.10312473537132696,1.3877787807814457e-17,0.9253112033195021,0.0,0.78165548098434,0.0,0.14285714285714285,0.0
scene,NeighbourhoodCleaningRule,LR,0.09956846473029046,0.0,0.7780082987551867,0.0,0.658165548098434,0.0,0.2074074074074074,0.0
scene,NeighbourhoodCleaningRule,DT,0.1166515568883155,0.0,0.8402489626556017,0.0,0.6241930329178652,0.0,0.2524271844660194,0.0
scene,NeighbourhoodCleaningRule,SVM,0.11356846473029045,0.0,0.8195020746887967,0.0,0.7474592521572387,0.0,0.24347826086956523,0.0
scene,NeighbourhoodCleaningRule,GBM,0.10241059079233353,0.0,0.9190871369294605,0.0,0.7949504634068392,0.0,0.1702127659574468,0.0
scene,NeighbourhoodCleaningRule,XGBoost,0.12176447342422447,0.0,0.9232365145228216,0.0,0.7799296899968041,0.0,0.2127659574468085,0.0
scene,OneSidedSelection,KNN,0.1416057432654943,0.0,0.9294605809128631,0.0,0.6658357302652606,0.0,0.22727272727272724,2.7755575615628914e-17
scene,OneSidedSelection,RF,0.1306757557794902,0.0,0.9315352697095436,0.0,0.7948865452221157,0.0,0.15384615384615385,0.0
scene,OneSidedSelection,LR,0.0998967650839533,0.0,0.7966804979253111,0.0,0.6534995206136145,0.0,0.2096774193548387,2.7755575615628914e-17
scene,OneSidedSelection,DT,0.14122433583014496,0.0,0.8858921161825727,1.1102230246251565e-16,0.6356343879833813,0.0,0.3037974683544304,0.0
scene,OneSidedSelection,SVM,0.11381369514149597,0.0,0.8609958506224068,1.1102230246251565e-16,0.7494407158836689,0.0,0.24719101123595505,0.0
scene,OneSidedSelection,GBM,0.12145820983995259,0.0,0.9273858921161826,0.0,0.8076062639821029,0.0,0.18604651162790697,0.0
scene,OneSidedSelection,XGBoost,0.12962147514607503,0.0,0.9294605809128631,0.0,0.7904761904761904,0.0,0.19047619047619047,0.0
scene,RandomUnderSampler,KNN,0.13692719316146296,0.0,0.6639004149377593,0.0,0.762895493767977,0.0,0.25688073394495414,0.0
